주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000066,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동292-9,제주특별자치도 제주시 용담1동292-10,5,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000065,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동137-54,제주특별자치도 제주시 용담1동137-54외6,6,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000064,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동664-5,제주특별자치도 제주시 도남동664-6,28,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000063,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동748-7,제주특별자치도 제주시 도남동748-8,17,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000062,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동755-0,제주특별자치도 제주시 도남동755-1,34,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000061,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동769-8,제주특별자치도 제주시 도남동769-9,21,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000060,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동735-0,제주특별자치도 제주시 도남동735-1,24,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000059,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동705-13,제주특별자치도 제주시 도남동705-14,8,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000058,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동703-7,제주특별자치도 제주시 도남동703-8,8,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000057,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동742-0,제주특별자치도 제주시 도남동742-1,32,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000056,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동689-6,제주특별자치도 제주시 도남동689-7,20,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000055,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 도남동574-2,제주특별자치도 제주시 도남동574-3,32,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000054,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동1909-74,제주특별자치도 제주시 이도2동1909-75,6,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000053,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동1063-13,제주특별자치도 제주시 이도2동1063-14,8,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000052,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동424,제주특별자치도 제주시 이도2동425,25,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000051,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동1028-0,제주특별자치도 제주시 이도2동1028-1,19,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
